K2 EPIC,TIC,Gaia ID,RA,Dec,KepMag,Tmag,G,Teff,Radius,Dist,Dist_minus_1_sigma,Dist_plus_1_sigma,Simbad ID,Simbad Type
245933022,4579789,2413442114756566656,348.312041,-11.567101,12.959,12.463,12.931176,5961.0,1.43,671.355937274995,651.736673289414,692.169320708687,,
245924453,5738973,2413003237818509184,348.161112,-11.988667,12.97,12.44,12.918001,6157.01,1.1,552.839737903791,542.006891871657,564.106206852158,,
245926600,4520664,2413032168718232960,347.874488,-11.882302,12.999,12.265,12.978953,4894.23,6.23,1816.00835112321,1734.0458925331,1905.88534099297,,
245935420,4582435,2413447646674517248,348.554032,-11.448996,13.062,12.093,12.981337,4253.33,0.68,139.437771086924,138.872161909539,140.0079238098,,
245929533,4520692,2413070067509654912,347.948901,-11.739845,13.08,12.449,13.065519,5096.67,2.43,844.723847453192,825.551134236353,864.790814428238,,
245928768,4579913,2413014125559939712,348.377947,-11.777948,13.094,12.587,13.060743,5945.5,1.62,799.296363120554,776.776966927743,823.134055672828,,
245930702,4582581,2413388204327075200,348.653849,-11.681448,13.12,12.547,13.06258,5772.0,1.56,723.354225208059,706.20875192678,741.336638961738,,
245925092,5738968,2413004990165166720,348.156802,-11.957374,13.137,12.514,13.111808,5313.0,1.09,432.055015683829,417.554989692951,447.578226664263,,
245934982,4582629,2413446650242078080,348.602537,-11.470446,13.166,12.239,13.120731,4352.38,,6459.27547835706,5718.35265968083,7365.11809998619,UCAC2  27946909,Star
245932150,4582465,2413439228538542336,348.496028,-11.608434,13.258,12.71,13.218774,5786.0,1.17,590.700946296768,580.353497725845,601.417110277564,,
245932122,404244692,2413066803334501888,348.183114,-11.609732,13.266,12.539,13.234683,5114.0,0.63,243.18122728098,241.583720379949,244.799620638523,,
245928811,4579839,2413060305048533248,348.209455,-11.775735,13.31,12.244,13.233689,3915.75,0.63,111.275655072937,110.773196482096,111.782610830945,UCAC2  27769374,Star
245931953,4602562,2413394560878700544,348.737625,-11.61804,13.342,12.616,13.311535,4971.67,,2891.86098941808,2514.51374356841,3381.34327571715,,
245930109,404244672,2413063912821061248,348.157078,-11.711623,13.404,12.777,13.377031,5350.0,0.86,393.838315180264,387.605314196534,400.271321112034,,
245923832,5725844,2413027255275597824,347.955742,-12.021306,13.419,12.825,13.37503,5461.0,0.92,438.151611228555,433.728237401908,442.664487863287,,
245933701,4582614,2413445756888879104,348.597392,-11.532567,13.499,12.818,13.471659,5090.65,9.7,3558.36273292136,3282.87722203589,3880.6680896446,,
245928468,404244659,2413057148248017792,348.098703,-11.793222,13.515,12.998,13.501365,5783.25,1.0,572.219050920593,562.972108886177,581.769135220542,,
245933261,4602719,2413396759901954048,348.825367,-11.554661,13.527,13.116,13.565308,6289.0,0.93,652.218200203552,639.198795550731,665.768852292426,,
245927911,4579899,2413013511380279168,348.351703,-11.819374,13.613,12.654,13.54356,3942.75,0.71,149.027785479644,148.193436340676,149.871413625617,,
245926246,5738955,2413051856848307200,348.045651,-11.900209,13.732,13.078,13.670653,5296.75,0.82,421.025880493708,414.588502531993,427.66259947836,,
245935840,4582637,2413448333869257600,348.656933,-11.428716,13.739,13.228,13.715245,5827.0,1.21,773.805673409719,759.389195670015,788.769658428156,,
245926489,5738957,2413051891208045440,348.058622,-11.887722,13.794,13.193,13.761915,5349.0,0.96,523.822612058202,516.314669563706,531.54806841739,,
245940582,4619621,2413525986877853312,349.226785,-11.19726,13.797,13.334,13.793727,5954.0,0.98,684.514518725634,672.206641673521,697.272952390805,,
245944073,49554720,2413522482184532608,349.546587,-11.055131,13.808,13.215,13.802201,5309.0,0.71,387.670501424686,380.739195019266,394.854119911784,,
245936631,4611179,2413422491050705280,349.063378,-11.387953,13.81,13.104,13.806484,4915.5,8.87,3438.00709218771,3130.29909349079,3806.82861805998,,
245931927,404244688,2413066803334502016,348.175833,-11.619075,13.908,12.577,13.797749,3609.75,,84.1595483283284,83.71077412849,84.6130736606864,UCAC3 157-294882,PM*
245928441,404244658,2413060034466037504,348.138947,-11.794328,13.915,13.239,13.907836,4948.81,3.25,1512.12573078475,1442.8704540028,1588.18585322286,,
245929396,4579919,2413014301654261248,348.412891,-11.746193,13.954,13.305,13.935081,5205.1,2.54,1362.89916396886,1290.64860055387,1443.49043682079,,
245936793,4602758,2413425381564021248,348.837984,-11.380209,14.197,13.538,14.180828,5048.39,2.88,1592.39700565067,1512.970802333,1680.38676894064,,
245931062,4579811,2413062886324318976,348.315734,-11.664197,14.241,13.647,14.219417,5229.15,1.13,711.829635605682,690.291543346233,734.727761571067,,
245933025,4579788,2413442522778611968,348.277698,-11.566989,14.414,13.392,14.474032,3987.61,,,,,,
245931121,4579809,2413062886324319104,348.317704,-11.660968,14.446,13.74,14.371465,5245.8,2.44,1609.9963360551,1509.91680602827,1723.8226173704,,
245923200,5725852,2413025812166551552,347.968896,-12.062337,14.469,13.728,14.426241,4924.5,0.88,527.74003509894,516.784697022897,539.161057901841,,
245937844,4602768,2413474236816831872,348.849804,-11.328685,14.521,13.522,14.459082,4061.01,,152.374870823391,151.549534596895,153.209084005153,,
245939811,4619633,2413524986150028672,349.289507,-11.232518,14.535,13.508,14.456682,4380.66,,166.865227075431,165.921253973549,167.819809226589,,
245930999,4554166,2413076664579419648,348.033545,-11.667118,14.6,13.733,14.560715,4454.0,0.72,351.251911068714,343.296223799621,359.578068544664,,
245933625,4602722,2413396794261692160,348.843159,-11.536285,14.704,13.882,15.154013,3425.75,,131.035538784607,130.056750737531,132.028904338986,,
245932259,4579948,2413438816221682944,348.372167,-11.602682,14.711,13.979,14.603656,5072.99,0.82,573.938452639809,560.394435557491,588.140685725397,,
245941254,49529598,2413527086389476864,349.366426,-11.16552,14.712,14.081,14.768934,4949.0,0.69,493.979029906298,479.054867180838,509.844518313051,,
245934486,4602731,2413420502481163904,348.912961,-11.492603,14.724,14.046,15.126488,3588.75,,124.47580189604,123.568692866129,125.396086550177,,
245925487,404244636,2413051994287255296,348.133828,-11.938054,14.829,13.962,14.779706,4423.75,0.69,366.585844040995,362.170031856579,371.108686109574,,
245925567,4579864,2413005299402810240,348.232277,-11.933897,14.855,14.031,14.80295,4957.19,0.77,559.97558928822,546.860877466847,573.722623926479,,
245927226,4579851,2413011720378254848,348.266024,-11.854275,15.024,15.633,17.24269,,,,,,2MASX J23130381-1151153,Galaxy
245929136,4520688,2413069895710962048,347.944158,-11.760391,15.081,14.386,15.057663,5016.0,0.86,719.710638518914,698.399104861496,742.337425116213,,
245928184,4520628,2413045362857774976,347.789937,-11.806722,15.131,14.52,15.112179,5335.0,0.79,792.853357643854,766.387243916004,821.174573488663,,
245935059,4602527,2413401364106904960,348.727633,-11.466409,15.142,14.226,15.189514,4335.5,0.56,334.870215100353,330.045408331143,339.835566721404,,
245939138,4610899,2413433280008722688,349.039113,-11.265062,15.192,13.981,15.066614,3749.5,,171.876363891912,167.274610667709,176.733661862075,,
245938600,4610906,2413427718026228864,348.93756,-11.291077,15.212,14.353,15.191236,4422.0,0.7,445.829376318547,437.131671210633,454.873681945063,,
245930186,4554170,2413076183543080064,348.042919,-11.707932,15.24,14.472,15.215692,5005.0,0.64,574.610744092391,553.180560579227,597.733767315686,,
245931975,4579801,2413067112572145408,348.209031,-11.617219,15.278,14.661,15.163048,5795.0,1.09,1315.34416889687,1239.3858814748,1400.94366560702,,
245940811,4619619,2413526296115499008,349.233164,-11.185591,15.288,14.618,15.356299,4864.63,0.65,580.334979567338,566.319746554703,595.048027365705,,
245935535,4582433,2413447749753708544,348.563274,-11.44334,15.311,14.593,15.201639,6189.7,1.17,1625.33255951214,1505.46993768647,1765.11526437909,,
245927125,4579893,2413012411868648064,348.395723,-11.858483,15.318,14.372,15.21893,4439.0,0.6,394.820860070714,388.299754146714,401.560647993738,,
245937414,4610920,2413426343636691072,348.93395,-11.349434,15.318,14.421,15.243283,4613.16,0.61,446.953855400077,438.407549279385,455.833695808752,,
245931981,4582596,2413397515816205568,348.647374,-11.617039,15.328,14.786,15.348637,5357.41,0.86,959.819322012399,921.492627275606,1001.40036994943,,
245935122,4602741,2413421155316194560,348.905268,-11.46339,15.427,14.729,15.449471,5010.0,0.59,598.08283401142,580.845747956275,616.353882734534,,
245937765,4610915,2413426618514596480,348.986038,-11.332466,15.428,14.74,15.50384,5080.25,0.56,598.818955811357,581.567637157752,617.104643744367,,
245931241,4579807,2413062955043796352,348.314534,-11.653812,15.452,14.502,15.470574,3968.69,0.68,349.400381574975,342.198588403586,356.906096684817,,
245930796,404244681,2413064844829414528,348.140747,-11.677654,15.482,14.868,15.486461,5476.29,0.74,933.646960757741,878.980914022926,995.38247065536,,
245930931,4579813,2413065600743653248,348.229899,-11.670294,15.502,14.88,15.513621,5025.06,0.8,834.548066012828,779.008574164046,898.393207671503,,
245933705,4579963,2413443592225326208,348.430464,-11.532182,15.525,14.65,15.462308,4425.2,0.59,426.621573169617,418.091715414593,435.50014211587,,
245936182,4610933,2413422284892388480,349.04797,-11.410507,15.538,14.626,15.473571,4398.0,0.56,403.26106361295,395.64325708683,411.172453811486,,
245931346,4579936,2413437647990577664,348.419085,-11.648892,15.599,14.88,15.678633,4803.75,0.52,524.741750767462,509.876718403796,540.482473922722,,
245929941,4520701,2413070892143377664,347.934092,-11.719939,15.612,14.925,16.083176,3591.0,,214.920768867127,187.600597885767,251.397163421193,,
245928235,404244656,2413059828307605120,348.199155,-11.8043,15.638,14.895,15.508777,5024.5,0.85,881.179963912971,840.668820724251,925.701294168433,,
245928149,4582505,2413010109766174848,348.495722,-11.808779,15.642,15.109,15.68154,5366.0,0.72,948.620236822761,894.304098863403,1009.78665774441,,
245929889,4579825,2413060756020541696,348.224118,-11.722362,15.66,15.209,16.423443,4064.46,,184.510191487459,180.356934007566,188.855639961133,,
245927215,4579852,2413011793393362944,348.248878,-11.854553,15.668,15.146,15.646162,5635.32,0.92,1295.39904094274,1172.9313203806,1445.11386360979,,
245929207,4579834,2413060992243208320,348.315299,-11.756657,15.674,15.147,15.998611,4325.06,0.78,671.137690123174,630.328911363474,717.465812896094,,
245936720,4602757,2413425587722451840,348.827193,-11.383785,15.75,15.216,15.977363,4773.27,0.66,737.971489730141,702.669665811424,776.927499561097,,
